Datetime,MultiplierSum,SignalSum
2022-12-27 11:30:00-05:00,7.0,5.0
2022-12-27 12:30:00-05:00,16.0,9.0
2022-12-27 13:30:00-05:00,8.0,4.0
2022-12-27 14:30:00-05:00,23.0,8.0
2022-12-27 15:30:00-05:00,14.0,4.0
2022-12-28 09:30:00-05:00,3.0,0.0
2022-12-28 10:30:00-05:00,-41.0,-5.0
2022-12-28 11:30:00-05:00,-47.0,-11.0
2022-12-28 12:30:00-05:00,-40.0,-6.0
2022-12-28 13:30:00-05:00,-55.0,-6.0
2022-12-28 14:30:00-05:00,-53.0,-12.0
2022-12-28 15:30:00-05:00,-53.0,-3.0
2022-12-29 09:30:00-05:00,33.0,3.0
2022-12-29 10:30:00-05:00,43.0,9.0
2022-12-29 11:30:00-05:00,43.0,6.0
2022-12-29 12:30:00-05:00,43.0,10.0
2022-12-29 13:30:00-05:00,47.0,11.0
2022-12-29 14:30:00-05:00,42.0,8.0
2022-12-29 15:30:00-05:00,41.0,9.0
2022-12-30 09:30:00-05:00,-6.0,-5.0
2022-12-30 10:30:00-05:00,-26.0,-4.0
2022-12-30 11:30:00-05:00,-40.0,-13.0
2022-12-30 12:30:00-05:00,-51.0,-15.0
2022-12-30 13:30:00-05:00,-26.0,-4.0
2022-12-30 14:30:00-05:00,-15.0,-2.0
2022-12-30 15:30:00-05:00,13.0,7.0
2023-01-03 09:30:00-05:00,-53.0,-10.0
2023-01-03 10:30:00-05:00,-61.0,-10.0
2023-01-03 11:30:00-05:00,-61.0,-13.0
2023-01-03 12:30:00-05:00,-41.0,-2.0
2023-01-03 13:30:00-05:00,-31.0,0.0
2023-01-03 14:30:00-05:00,-18.0,1.0
2023-01-03 15:30:00-05:00,-10.0,0.0
2023-01-04 09:30:00-05:00,-3.0,-1.0
2023-01-04 10:30:00-05:00,17.0,5.0
2023-01-04 11:30:00-05:00,40.0,13.0
2023-01-04 12:30:00-05:00,44.0,14.0
2023-01-04 13:30:00-05:00,31.0,8.0
2023-01-04 14:30:00-05:00,35.0,9.0
2023-01-04 15:30:00-05:00,42.0,12.0
2023-01-05 09:30:00-05:00,4.0,-4.0
2023-01-05 10:30:00-05:00,-27.0,-4.0
2023-01-05 11:30:00-05:00,-31.0,-4.0
2023-01-05 12:30:00-05:00,-28.0,-5.0
2023-01-05 13:30:00-05:00,-20.0,-2.0
2023-01-05 14:30:00-05:00,-23.0,2.0
2023-01-05 15:30:00-05:00,-29.0,-7.0
2023-01-06 09:30:00-05:00,9.0,0.0
2023-01-06 10:30:00-05:00,53.0,14.0
2023-01-06 11:30:00-05:00,48.0,11.0
2023-01-06 12:30:00-05:00,53.0,7.0
2023-01-06 13:30:00-05:00,56.0,6.0
2023-01-06 14:30:00-05:00,53.0,9.0
2023-01-06 15:30:00-05:00,54.0,14.0
2023-01-09 09:30:00-05:00,72.0,10.0
2023-01-09 10:30:00-05:00,73.0,17.0
2023-01-09 11:30:00-05:00,75.0,19.0
2023-01-09 12:30:00-05:00,77.0,19.0
2023-01-09 13:30:00-05:00,69.0,15.0
2023-01-09 14:30:00-05:00,14.0,-3.0
2023-01-09 15:30:00-05:00,-1.0,1.0
2023-01-10 09:30:00-05:00,7.0,6.0
2023-01-10 10:30:00-05:00,0.0,2.0
2023-01-10 11:30:00-05:00,7.0,-2.0
2023-01-10 12:30:00-05:00,2.0,1.0
2023-01-10 13:30:00-05:00,35.0,8.0
2023-01-10 14:30:00-05:00,37.0,7.0
2023-01-10 15:30:00-05:00,46.0,10.0
2023-01-11 09:30:00-05:00,62.0,10.0
2023-01-11 10:30:00-05:00,63.0,9.0
2023-01-11 11:30:00-05:00,63.0,12.0
2023-01-11 12:30:00-05:00,50.0,6.0
2023-01-11 13:30:00-05:00,52.0,4.0
2023-01-11 14:30:00-05:00,56.0,9.0
2023-01-11 15:30:00-05:00,38.0,6.0
2023-01-12 09:30:00-05:00,27.0,2.0
2023-01-12 10:30:00-05:00,30.0,3.0
2023-01-12 11:30:00-05:00,55.0,11.0
2023-01-12 12:30:00-05:00,60.0,10.0
2023-01-12 13:30:00-05:00,70.0,13.0
2023-01-12 14:30:00-05:00,71.0,12.0
2023-01-12 15:30:00-05:00,72.0,12.0
2023-01-13 09:30:00-05:00,48.0,4.0
2023-01-13 10:30:00-05:00,31.0,2.0
2023-01-13 11:30:00-05:00,23.0,3.0
2023-01-13 12:30:00-05:00,14.0,-4.0
2023-01-13 13:30:00-05:00,-15.0,-14.0
2023-01-13 14:30:00-05:00,-2.0,-3.0
2023-01-13 15:30:00-05:00,-18.0,-8.0
2023-01-17 09:30:00-05:00,-10.0,-3.0
2023-01-17 10:30:00-05:00,-61.0,-14.0
2023-01-17 11:30:00-05:00,-66.0,-18.0
2023-01-17 12:30:00-05:00,-53.0,-10.0
2023-01-17 13:30:00-05:00,-69.0,-13.0
2023-01-17 14:30:00-05:00,-57.0,-11.0
2023-01-17 15:30:00-05:00,-65.0,-16.0
2023-01-18 09:30:00-05:00,-4.0,3.0
2023-01-18 10:30:00-05:00,-91.0,-18.0
2023-01-18 11:30:00-05:00,-98.0,-23.0
2023-01-18 12:30:00-05:00,-97.0,-18.0
2023-01-18 13:30:00-05:00,-96.0,-18.0
2023-01-18 14:30:00-05:00,-102.0,-20.0
2023-01-18 15:30:00-05:00,-109.0,-22.0
2023-01-19 09:30:00-05:00,-106.0,-24.0
2023-01-19 10:30:00-05:00,-100.0,-22.0
2023-01-19 11:30:00-05:00,-94.0,-17.0
2023-01-19 12:30:00-05:00,-77.0,-14.0
2023-01-19 13:30:00-05:00,-53.0,-3.0
2023-01-19 14:30:00-05:00,-56.0,-10.0
2023-01-19 15:30:00-05:00,-51.0,-9.0
2023-01-20 09:30:00-05:00,-38.0,-3.0
2023-01-20 10:30:00-05:00,9.0,6.0
